code,definition,attributeName,metadata_pid
ABUR,Arroyo Burro Reef,SBC_SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/61/8
AHND,Arroyo Hondo Reef,SBC_SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/61/8
ALE,Alegria Reef,SBC_SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/61/8
AQUE,Arroyo Quemado Reef,SBC_SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/61/8
BULL,Bullito Reef,SBC_SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/61/8
CARP,Carpenteria Reef,SBC_SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/61/8
GOLB,Goleta Bay,SBC_SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/61/8
IVEE,Isla Vista,SBC_SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/61/8
MOHK,Mohawk Reef,SBC_SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/61/8
"NAPL",Naples Reef,SBC_SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/61/8
OTHER,Location is not near an SBC site,SBC_SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/61/8
SCDI,Santa Cruz Island Diablo Point,SBC_SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/61/8
SCTW,Santa Cruz Island Twin West,SBC_SITE,https://pasta.lternet.edu/package/metadata/eml/knb-lter-sbc/61/8
