"YEAR","MONTH","DATE","SBC_SITE","LOCATION","COUNT","ACTIVITY","NOTES"
2007,5,"2007-05-01","MOHK","MOHK",0,.,.
2007,5,"2007-05-02","ABUR","ABUR",0,.,.
2007,5,"2007-05-02","MOHK","MOHK",0,.,.
2007,5,"2007-05-07","MOHK","MOHK",1,"FEEDING","SOUTHEAST OF INSIDE SPAR BUOY"
2007,5,"2007-05-08","AQUE","AQUE",0,.,.
2007,5,"2007-05-13","MOHK","MOHK",0,.,.
2007,5,"2007-05-14","MOHK","MOHK",0,.,.
2007,5,"2007-05-15","MOHK","MOHK",0,.,.
2007,5,"2007-05-16","GOLB","MORE MESA",1,"FEEDING",.
2007,5,"2007-05-22","MOHK","MOHK",0,.,.
2007,5,"2007-05-23","MOHK","MOHK",0,.,.
2007,5,"2007-05-24","SCTW","SCTW",0,.,.
2007,5,"2007-05-24","SCDI","SCDI",0,.,.
2007,5,"2007-05-25","MOHK","MOHK",0,.,.
2007,5,"2007-05-30","MOHK","MOHK",0,.,.
2007,6,"2007-06-04","MOHK","MOHK",0,.,.
2007,6,"2007-06-04","ABUR","ABUR",0,.,.
2007,6,"2007-06-07","AQUE","AQUE",0,.,.
2007,6,"2007-06-08","MOHK","MOHK",0,.,.
2007,6,"2007-06-12","MOHK","MOHK",0,.,.
2007,6,"2007-06-13","MOHK","MOHK",0,.,.
2007,6,"2007-06-19","MOHK","MOHK",0,.,.
2007,6,"2007-06-21","MOHK","MOHK",0,.,.
2007,6,"2007-06-21","GOLB","GOLB",0,.,.
2007,6,"2007-06-25","AQUE","AQUE",0,.,.
2007,6,"2007-06-25","NAPL","NAPL",0,.,.
2007,6,"2007-06-26","BULL","BULL",0,.,.
2007,6,"2007-06-26","AHND","AHND",0,.,.
2007,6,"2007-06-26","AHND","AHND",1,"FEEDING",.
2007,6,"2007-06-26","NAPL","NAPL",0,.,.
2007,6,"2007-06-28","MOHK","SHORELINE DRIVE",1,"PREENING",.
2007,7,"2007-07-02","AQUE","AQUE",0,.,.
2007,7,"2007-07-03","NAPL","NAPL",0,.,.
2007,7,"2007-07-03","NAPL","NAPL",0,.,.
2007,7,"2007-07-05","CARP","CARP",0,.,.
2007,7,"2007-07-09","ABUR","ABUR",0,.,.
2007,7,"2007-07-09","MOHK","MOHK",0,.,.
2007,7,"2007-07-10","CARP","CARP",0,.,.
